,Name,A-M-B Angle,M-A Distance,M-B Distance,Metal_NBO,A_NBO,B_NBO,HOMO_LUMO,A-B_NBO,MA_MB_Difference,Total,SW,NW,NE,SE,N (AVG),S (AVG),%Filled_x,%Filled_y,Weighted %Filled
0,p-o-35,93,2.478595721,2.091291057,0.36897,0.96906,-1.05103,0.16975,2.02009,0.387304664,46,29.4,48.4,53.6,52.7,51,41.05,0.492957746,0,1.474035418
1,p-o-34,94,2.462204384,2.099759946,0.36063,1.00444,-1.04788,0.16662,2.05232,0.362444439,43.4,30.5,45.7,48.5,48.9,47.1,39.7,0,0.136301681,0.836634197
2,p-o-33,94,2.477615607,2.102172494,0.39186,0.99284,-1.05203,0.16191,2.04487,0.375443114,49.5,33.8,44.7,54.8,64.7,49.75,49.25,15.49295775,14.3571104,2.916355041
3,p-o-32,91,2.419227089,2.073041051,0.39353,1.02658,-1.0291,0.16114,2.05568,0.346186038,47.1,56.3,27.7,43.3,61.2,35.5,58.75,21.97183099,14.76601545,3.554366364
4,p-o-28,86,2.521658664,2.090791008,0.35179,0.97217,-1.04069,0.17167,2.01286,0.430867656,50.9,42.5,27.7,66.4,66.9,47.05,54.7,20.63380282,15.03861881,3.784604461
5,p-o-30,86,2.424863121,2.079045608,0.41952,1.02944,-1.02911,0.1594,2.05855,0.345817514,50,57.8,26.3,51.3,64.5,38.8,61.15,12.32394366,16.85597456,3.298377612
6,p-o-29,83,2.434219588,2.071091204,0.41119,1.0418,-1.03327,0.16031,2.07507,0.363128385,48,54.7,27.8,48.6,60.9,38.2,57.8,9.295774648,9.541117674,2.532650507
7,p-o-36,95,2.491038778,2.095039444,0.40051,0.98298,-1.05395,0.16822,2.03693,0.395999333,46.3,31.3,46.4,58.9,48.6,52.65,39.95,0,3.044070877,1.441644216
8,p-o-27,85,2.462845888,2.091206506,0.36121,1.0117,-1.03729,0.17114,2.04899,0.371639381,44.8,41.6,34.4,51.4,51.9,42.9,46.75,0,0,0.861119473
9,p-o-26,84,2.462029755,2.101077418,0.37468,0.99401,-1.08391,0.16959,2.07792,0.360952337,49.5,54.8,35.1,54,54.2,44.55,54.5,9.507042254,0,1.743275204
10,p-o-31,91,2.469904175,2.066891565,0.386,0.99051,-1.03382,0.16788,2.02433,0.403012609,46.7,56,28.2,48.8,53.7,38.5,54.85,6.408450704,3.362108133,1.931448318
11,p-o-37,91,2.43524835,2.07916818,0.38399,0.98834,-1.05168,0.16911,2.04002,0.35608017,47.9,55.2,31.4,53.3,51.7,42.35,53.45,3.732394366,4.634257156,1.64208945
12,p-o-41,93,2.449600361,2.079931768,0.41061,0.99992,-1.05598,0.1662,2.0559,0.369668592,50.5,33.6,45.1,59.7,63.5,52.4,48.55,20.21126761,18.99136756,3.552823167
13,p-o-39,90,2.432339459,2.065464013,0.38105,0.99433,-1.08119,0.16841,2.07552,0.366875447,50.7,37.3,66,51.3,48.3,58.65,42.8,21.47887324,12.90322581,3.217160742
14,p-o-40,90,2.415219099,2.05428388,0.39766,1.00479,-1.09568,0.16769,2.10047,0.360935219,49.9,52.5,45.5,48.4,53.1,46.95,52.8,0,0.590640618,1.052802368
15,p-o-42,84,2.421348294,2.069417479,0.4224,1.02202,-1.07241,0.1628,2.09443,0.351930814,48.9,49.4,30.7,55,60.5,42.85,54.95,8.169014085,9.813721036,2.650709609
16,p-o-43,91,2.432739772,2.060813532,0.4138,0.9962,-1.09317,0.16622,2.08937,0.371926239,56.8,43.2,57.5,65.5,61,61.5,52.1,36.90140845,20.1726488,4.841802389
17,p-o-44,92,2.421897147,2.063200691,0.37151,1.0116,-1.07584,0.16988,2.08744,0.358696456,49.7,33.6,56.1,55.5,53.8,55.85,43.35,15.28169014,6.224443435,2.39381008
18,p-o-45,93,2.449043152,2.075002058,0.40843,1.0004,-1.05822,0.1579,2.05862,0.374041094,50.5,33.4,45.2,60,63.2,52.6,48.3,20.21126761,19.08223535,3.581951199
19,p-o-8,89,2.437806664,2.067685053,0.38976,0.99995,-1.05501,0.16805,2.05496,0.370121611,49.6,31.6,65.6,53.1,48.2,59.35,39.9,19.43661972,12.90322581,3.057052409
20,p-o-9,93,2.449223287,2.082376986,0.37467,1.00359,-1.03271,0.16884,2.0363,0.366846301,45,29.9,50.2,50.7,49.4,50.45,39.65,0,0,1.012893279
21,p-o-25,84,2.413228356,2.067652417,0.38755,1.00807,-1.07959,0.16513,2.08766,0.34557594,46.1,51.4,33.4,49.2,50.5,41.3,50.95,0,0,1.048272386
22,p-o-38,90,2.441774619,2.069335519,0.38789,0.96386,-1.08689,0.16913,2.05075,0.3724391,46.3,31.3,46.4,58.9,48.6,52.65,39.95,0,3.044070877,1.441644216
23,p-o-24,83,2.480124852,2.091248084,0.38036,0.98199,-1.08258,0.17054,2.06457,0.388876768,53.2,50.5,44.3,60.5,57.6,52.4,54.05,28.30985915,8.950477056,3.123231085
24,c-o-2,81,2.111872399,2.121294735,0.47121,0.22964,-1.07212,0.17621,1.30176,-0.009422336,48.1,36.8,32.8,54.7,68.1,43.75,52.45,13.02816901,9.404815993,2.792381384
25,p-o-22,84,2.413228356,2.067652417,0.38755,1.00807,-1.07959,0.16513,2.08766,0.34557594,48.6,61.5,30.3,51,51.6,40.65,56.55,13.02816901,0.272603362,2.04079113
26,c-n-1,84,2.090057958,2.043236352,0.32658,0.24319,-0.8638,0.16299,1.10699,0.046821606,49.3,58.4,38.4,43.4,57,40.9,57.7,5.281690141,7.178555202,2.372095319
27,c-n-2,89,2.126934237,2.144018661,0.37176,0.21703,-0.36581,0.18154,0.58284,-0.017084424,50.4,47,47.9,43.5,63.2,45.7,55.1,5.492957746,4.3162199,2.267404587
28,c-n-3,84,2.097532976,2.19298431,0.39762,0.23467,-0.39313,0.17438,0.6278,-0.095451335,51.4,59.6,45.4,45.5,55.1,45.45,57.35,0,1.590186279,1.68937138
29,c-o-1,87,2.072106236,2.019567,0.37711,0.33583,-0.6551,0.15827,0.99093,0.052539237,42.5,29.1,33.3,41.5,66.1,37.4,47.6,4.225352113,4.361653794,1.879584555
30,p-o-23,84,2.450821268,2.093447788,0.39767,1.01519,-1.08425,0.1683,2.09944,0.357373481,47.9,44.3,48.9,41.2,57.3,45.05,50.8,14.50704225,3.634711495,2.036071851
31,c-o-4,88,2.088684283,2.017033153,0.39331,0.32532,-0.65763,0.15953,0.98295,0.07165113,47.6,34.9,33,53.6,68.9,43.3,51.9,24.92957746,18.26442526,4.167932353
32,c-o-5,94,2.130119205,2.058122805,0.38233,0.24251,-0.92528,0.18188,1.16779,0.0719964,41.2,35.8,31.4,56.8,40.7,44.1,38.25,0.422535211,2.998636983,0.902530502
33,c-o-6,89,2.078108379,2.014786002,0.35937,0.22124,-0.64183,0.15989,0.86307,0.063322377,46.3,29,29.4,61.2,65.6,45.3,47.3,21.61971831,18.49159473,4.316641176
34,c-o-7,89,2.076269573,2.012862535,0.35573,0.22559,-0.63952,0.16059,0.86511,0.063407039,40,28.9,29.5,49.4,52.2,39.45,40.55,0,2.089959109,1.485662666
35,c-o-8,88,2.079339842,2.011461978,0.36087,0.22306,-0.64807,0.15833,0.87113,0.067877863,42.4,40.4,27.9,52.9,48.3,40.4,44.35,0,1.862789641,1.490648294
36,c-p-1,90,2.419020583,1.991632371,0.13229,1.06059,0.34232,0.18709,0.71827,0.427388212,49.3,63.5,43,45.2,45.6,44.1,54.55,9.647887324,7.178555202,2.360352333
37,c-o-3,88,2.143812683,2.067720391,0.45513,0.17947,-1.07119,0.15935,1.25066,0.076092292,53.2,52,30.2,65.9,64.7,48.05,58.35,12.88732394,10.0408905,3.550871787
38,p-o-10,81,2.429168652,2.095102835,0.36323,1.02068,-0.55146,0.15455,1.57214,0.334065816,40.8,33.7,29.9,51.8,47.9,40.85,40.8,0,0,0.632316565
39,c-s-1,92,2.545836512,1.999537689,0.18794,0.39817,0.31857,0.18836,0.0796,0.546298824,48.4,47.9,53,35.7,57,44.35,52.45,4.014084507,4.634257156,2.213256503
40,p-o-21,94,2.454719007,2.076241467,0.37534,0.97658,-1.0322,0.16871,2.00878,0.37847754,48,30.3,50.2,55.3,56.4,52.75,43.35,0,2.407996365,1.621903486
41,p-o-20,82,2.412354705,2.077319135,0.38321,1.02831,-1.079,0.16333,2.10731,0.33503557,46.7,60.9,34.1,44.7,46.9,39.4,53.9,10.35211268,0,1.505551656
42,p-o-19,89,2.435415554,2.080666133,0.40398,1.00486,-1.06386,0.16532,2.06872,0.354749421,49.4,29,60.8,55.6,52.2,58.2,40.6,10.21126761,9.722853249,2.599952237
43,p-o-17,91,2.430003838,2.070249644,0.36989,1.01442,-1.0545,0.1673,2.06892,0.359754194,43.5,45.1,30.8,48.7,49.4,39.75,47.25,0,0.136301681,0.780346038
44,p-o-18,99,2.419487627,2.336731073,0.11239,1.04252,-0.36688,0.16851,1.4094,0.082756554,49.1,50.5,35.6,53.9,56.2,44.75,53.35,0,3.680145388,1.572112361
45,p-o-15,94,2.470927436,2.08304818,0.41385,0.9873,-1.04364,0.16384,2.03094,0.387879256,53.5,38.1,48.2,64.1,63.8,56.15,50.95,33.94366197,24.35256701,4.746210043
46,p-o-14,82,2.398998185,2.02779282,0.32712,1.04338,-0.66993,0.14868,1.71331,0.371205365,40.2,38.1,31,44.7,47,37.85,42.55,0,0,0.446610795
47,p-o-13,94,2.451525296,2.082525826,0.39677,0.99959,-1.03643,0.1624,2.03602,0.36899947,48.7,30.2,49.9,64.3,50.4,57.1,40.3,7.957746479,9.541117674,2.448471422
48,p-o-12,82,2.390429445,2.027998778,0.30266,1.04414,-0.66486,0.15279,1.709,0.362430667,36.8,31.9,31,42.8,41.7,36.9,36.8,0,0,0.244956499
49,p-o-11,79,2.418147794,2.071816892,0.3525,1.20766,-0.5786,0.1729,1.78626,0.346330902,42,31.8,30.9,51.7,53.9,41.3,42.9,0,0.499772831,0.774205309
50,p-o-16,82,2.422389238,2.084793364,0.41191,1.01953,-1.05565,0.16131,2.07518,0.337595873,49.7,36,59.3,60.4,43,59.85,39.5,8.873239437,10.0408905,2.545712741
